Week,Category,Working Title,Focus,Image Ideas
1,Presidents,"America 250 Quiz: Test yourself on presidents, power and pivotal moments","Commanders in chief, White House firsts, presidential milestones","White House; presidential portraits; Mount Rushmore"
2,Founding Fathers,"America 250 Quiz: Test yourself on founders, freedom and famous signatures","Washington, Adams, Jefferson, Franklin, Hamilton and the founding generation","Declaration of Independence; Independence Hall"
3,Revolutionary War,"America 250 Quiz: Test yourself on battles, patriots and independence","Lexington and Concord, Yorktown, Valley Forge and key Revolutionary War figures","Continental Army reenactors; colonial flags"
4,Constitution and Bill of Rights,"America 250 Quiz: Test yourself on the Constitution and America's founding rules","Constitutional Convention, amendments, rights and government structure","U.S. Constitution; National Archives"
5,Military History,"America 250 Quiz: Test yourself on heroes, battles and American service","Major conflicts, service branches, medals and military landmarks","Arlington National Cemetery; U.S. service members"
6,Civil War and Reconstruction,"America 250 Quiz: Test yourself on the Civil War and the nation reunited","Lincoln, Gettysburg, emancipation, Reconstruction amendments","Civil War battlefield; Lincoln Memorial"
7,American Inventions,"America 250 Quiz: Test yourself on inventions that changed the nation","Telegraph, telephone, light bulb, airplane, internet and consumer technology","Patent drawings; vintage inventions"
8,Space and Science,"America 250 Quiz: Test yourself on rockets, astronauts and scientific breakthroughs","NASA, Apollo, moon landing, medical and scientific milestones","Apollo astronaut; rocket launch"
9,Music,"America 250 Quiz: Test yourself on jazz, rock, country and American sound","American-born music genres, performers, songs and venues","Guitar; jazz club; Grand Ole Opry"
10,Food,"America 250 Quiz: Test yourself on iconic bites and American food firsts","Regional foods, restaurants, cookbooks, state foods and culinary traditions","Hot dogs; apple pie; diner counter"
11,Sports,"America 250 Quiz: Test yourself on champions, stadiums and great games","Baseball, football, Olympics, basketball and landmark sports moments","Baseball glove; stadium lights"
12,First Ladies,"America 250 Quiz: Test yourself on first ladies and their legacies","White House roles, initiatives, historic firsts and public influence","First ladies portraits; White House gardens"
13,National Parks and Landmarks,"America 250 Quiz: Test yourself on parks, peaks and treasured places","National parks, monuments, historic sites and natural wonders","Yellowstone; Statue of Liberty; Grand Canyon"
14,U.S. Symbols,"America 250 Quiz: Test yourself on flags, eagles and national emblems","Flag history, seals, anthems, mottos and patriotic symbols","American flag; bald eagle"
15,Immigration,"America 250 Quiz: Test yourself on Ellis Island, newcomers and American dreams","Immigration waves, citizenship, landmarks and cultural contributions","Ellis Island; Statue of Liberty"
16,Westward Expansion,"America 250 Quiz: Test yourself on trails, territories and the American West","Louisiana Purchase, Lewis and Clark, Oregon Trail, railroads and frontier life","Covered wagon; transcontinental railroad"
17,Civil Rights,"America 250 Quiz: Test yourself on rights, reformers and landmark victories","Abolition, suffrage, civil rights movement and court cases","March on Washington; voting rights imagery"
18,Literature,"America 250 Quiz: Test yourself on authors, novels and American words","Classic authors, speeches, poems and influential books","Bookshelf; typewriter; library"
19,Hollywood and Entertainment,"America 250 Quiz: Test yourself on movies, TV and American stars","Film firsts, television milestones, awards and pop-culture moments","Hollywood sign; vintage film reel"
20,States and Capitals,"America 250 Quiz: Test yourself on states, capitals and quirky nicknames","Statehood, capitals, nicknames, geography and regional facts","U.S. map; state flags"
21,Famous Speeches,"America 250 Quiz: Test yourself on words that moved America","Gettysburg Address, inaugural lines, civil rights speeches and wartime addresses","Podium; Lincoln Memorial"
22,Business and Industry,"America 250 Quiz: Test yourself on entrepreneurs, brands and big ideas","Railroads, automobiles, retail, technology companies and industrial milestones","Factory floor; assembly line"
23,Holidays and Traditions,"America 250 Quiz: Test yourself on parades, fireworks and national traditions","Independence Day, Thanksgiving, Memorial Day, Veterans Day and regional customs","Fireworks; parade flags"
24,Road Trips and Transportation,"America 250 Quiz: Test yourself on highways, railroads and American travel","Route 66, interstate highways, railroads, aviation and iconic trips","Route 66 sign; classic car"
25,America 250 Finale,"America 250 Quiz: Test yourself on 250 years of American history","A mixed-category finale pulling from all previous themes","Collage of U.S. landmarks and symbols"
