Week,Category,Working Title,Question Number,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Answer Explanation / Fun Fact,Source / Fact-Check Notes,Publish Status,Editor Notes
1,Presidents,"America 250 Quiz: Test yourself on presidents, power and pivotal moments",1,Who was the first president of the United States?,John Adams,George Washington,Thomas Jefferson,James Madison,B. George Washington,George Washington became the first U.S. president in 1789 and remains the only president unanimously chosen by the Electoral College.,Verify with White House Historical Association; National Archives.,Drafted - needs final fact-check,
1,Presidents,"America 250 Quiz: Test yourself on presidents, power and pivotal moments",2,Who was the first president to live in the White House?,George Washington,John Adams,Thomas Jefferson,James Monroe,B. John Adams,John Adams moved into the unfinished Executive Mansion in 1800. George Washington selected the site but never lived there.,Verify with White House Historical Association.,Drafted - needs final fact-check,
1,Presidents,"America 250 Quiz: Test yourself on presidents, power and pivotal moments",3,Which president approved the Louisiana Purchase in 1803?,Thomas Jefferson,James Madison,Andrew Jackson,James K. Polk,A. Thomas Jefferson,"Thomas Jefferson's administration purchased the Louisiana Territory from France, dramatically expanding the size of the United States.",Verify with National Archives; Library of Congress.,Drafted - needs final fact-check,
1,Presidents,"America 250 Quiz: Test yourself on presidents, power and pivotal moments",4,Which president delivered the Gettysburg Address?,Ulysses S. Grant,Abraham Lincoln,Andrew Johnson,Rutherford B. Hayes,B. Abraham Lincoln,"Abraham Lincoln delivered the Gettysburg Address in 1863, dedicating a cemetery at the Pennsylvania battlefield.",Verify with Library of Congress; National Park Service.,Drafted - needs final fact-check,
1,Presidents,"America 250 Quiz: Test yourself on presidents, power and pivotal moments",5,Which president served more than two terms in office?,Theodore Roosevelt,Woodrow Wilson,Franklin D. Roosevelt,Harry S. Truman,C. Franklin D. Roosevelt,Franklin D. Roosevelt was elected four times. The 22nd Amendment later limited presidents to two elected terms.,Verify with National Archives; White House Historical Association.,Drafted - needs final fact-check,
1,Presidents,"America 250 Quiz: Test yourself on presidents, power and pivotal moments",6,"Which president was nicknamed ""Old Hickory""?",Andrew Jackson,Zachary Taylor,William Henry Harrison,Ulysses S. Grant,A. Andrew Jackson,"Andrew Jackson earned the nickname ""Old Hickory"" from soldiers who compared his toughness to hickory wood.",Verify with The Hermitage; White House Historical Association.,Drafted - needs final fact-check,
1,Presidents,"America 250 Quiz: Test yourself on presidents, power and pivotal moments",7,Which president had been a Hollywood actor before entering national politics?,Richard Nixon,Ronald Reagan,Jimmy Carter,Gerald Ford,B. Ronald Reagan,Ronald Reagan appeared in films and television before serving as California governor and later as the 40th president.,Verify with Ronald Reagan Presidential Library.,Drafted - needs final fact-check,
1,Presidents,"America 250 Quiz: Test yourself on presidents, power and pivotal moments",8,Which president signed the Emancipation Proclamation?,Abraham Lincoln,Andrew Johnson,James Buchanan,Ulysses S. Grant,A. Abraham Lincoln,"Abraham Lincoln issued the Emancipation Proclamation during the Civil War; it took effect on Jan. 1, 1863.",Verify with National Archives.,Drafted - needs final fact-check,
1,Presidents,"America 250 Quiz: Test yourself on presidents, power and pivotal moments",9,Who was the youngest person ever elected president of the United States?,Theodore Roosevelt,John F. Kennedy,Bill Clinton,Barack Obama,B. John F. Kennedy,"John F. Kennedy was 43 when elected in 1960. Theodore Roosevelt became president at 42 after William McKinley's assassination, but he was not first elected at that age.",Verify with White House Historical Association; JFK Library.,Drafted - needs final fact-check,
1,Presidents,"America 250 Quiz: Test yourself on presidents, power and pivotal moments",10,Which president signed the act creating the National Park Service in 1916?,Theodore Roosevelt,William Howard Taft,Woodrow Wilson,Franklin D. Roosevelt,C. Woodrow Wilson,"Woodrow Wilson signed the Organic Act in 1916, establishing the National Park Service within the Department of the Interior.",Verify with National Park Service.,Drafted - needs final fact-check,
